"specimen_collection_date","age_group","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
2020-03-28,"31-40",2,116,2020-10-02 14:26:52
2020-03-29,"31-40",2,118,2020-10-02 14:26:52
2020-03-30,"31-40",8,126,2020-10-02 14:26:52
2020-03-31,"31-40",13,139,2020-10-02 14:26:52
2020-04-01,"31-40",7,146,2020-10-02 14:26:52
2020-04-02,"31-40",10,156,2020-10-02 14:26:52
2020-04-03,"31-40",9,165,2020-10-02 14:26:52
2020-04-04,"31-40",4,169,2020-10-02 14:26:52
2020-04-05,"31-40",10,179,2020-10-02 14:26:52
2020-04-06,"31-40",9,188,2020-10-02 14:26:52
2020-04-07,"31-40",10,198,2020-10-02 14:26:52
2020-04-08,"31-40",16,214,2020-10-02 14:26:52
2020-04-09,"31-40",11,225,2020-10-02 14:26:52
2020-04-10,"31-40",7,232,2020-10-02 14:26:52
2020-04-11,"31-40",7,239,2020-10-02 14:26:52
2020-04-12,"31-40",4,243,2020-10-02 14:26:52
2020-04-13,"31-40",6,249,2020-10-02 14:26:52
2020-04-14,"31-40",8,257,2020-10-02 14:26:52
2020-04-15,"31-40",11,268,2020-10-02 14:26:52
2020-04-16,"31-40",11,279,2020-10-02 14:26:52
2020-04-17,"31-40",13,292,2020-10-02 14:26:52
2020-04-18,"31-40",3,295,2020-10-02 14:26:52
2020-04-19,"31-40",5,300,2020-10-02 14:26:52
2020-04-20,"31-40",6,306,2020-10-02 14:26:52
2020-04-21,"31-40",4,310,2020-10-02 14:26:52
2020-04-22,"31-40",7,317,2020-10-02 14:26:52
2020-04-23,"31-40",10,327,2020-10-02 14:26:52
2020-04-24,"31-40",7,334,2020-10-02 14:26:52
2020-04-25,"31-40",6,340,2020-10-02 14:26:52
2020-04-26,"31-40",9,349,2020-10-02 14:26:52
2020-04-27,"31-40",8,357,2020-10-02 14:26:52
2020-04-28,"31-40",16,373,2020-10-02 14:26:52
2020-04-29,"31-40",9,382,2020-10-02 14:26:52
2020-04-30,"31-40",9,391,2020-10-02 14:26:52
2020-05-01,"31-40",11,402,2020-10-02 14:26:52
2020-05-02,"31-40",17,419,2020-10-02 14:26:52
2020-05-03,"31-40",6,425,2020-10-02 14:26:52
2020-05-04,"31-40",9,434,2020-10-02 14:26:52
2020-05-05,"31-40",12,446,2020-10-02 14:26:52
2020-05-06,"31-40",9,455,2020-10-02 14:26:52
2020-05-07,"31-40",11,466,2020-10-02 14:26:52
2020-05-08,"31-40",5,471,2020-10-02 14:26:52
2020-05-09,"31-40",2,473,2020-10-02 14:26:52
2020-05-10,"31-40",2,475,2020-10-02 14:26:52
2020-05-11,"31-40",10,485,2020-10-02 14:26:52
2020-05-12,"31-40",10,495,2020-10-02 14:26:52
2020-05-13,"31-40",9,504,2020-10-02 14:26:52
2020-05-14,"31-40",6,510,2020-10-02 14:26:52
2020-05-15,"31-40",14,524,2020-10-02 14:26:52
2020-05-16,"31-40",4,528,2020-10-02 14:26:52
2020-05-17,"31-40",4,532,2020-10-02 14:26:52
2020-05-18,"31-40",10,542,2020-10-02 14:26:52
2020-05-19,"31-40",3,545,2020-10-02 14:26:52
